Policy,Tag,Net Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2
Medicare for All,127,-11,0.75,"Some Democrats in Congress have proposed a ""Medicare for All"" plan that would spend $2 trillion a year to create a government run health insurance plan that would cover all Americans, and eliminate all existing private health insurance plans. This new plan would eliminate monthly premiums, deductibles, and out of pocket costs. This policy would be funded by increasing the payroll tax from its current level of 15% of wage income, to a new level of 32% of wage income. 
","Democrats support this policy because they say Medicare for All will guarantee health insurance while eliminating premiums, copays, deductibles, and medical bankruptcy.","Democrats support this policy because they say a Medicare for All system will lower costs, eliminate insurance bureaucracy, and provide better coverage for all Americans.",Republicans oppose this bill because they say with inflation already too high we shouldn't be raising taxes on American workers by trillions of dollars and making healthcare government-controlled.,"Republicans oppose this bill because they say banning private insurance and overhauling Medicare is just too big of a change, and will raise costs when we should be lowering them."
Cancel all student loans for all borrowers,22,-12,0.5,"Some Democrats in Congress have proposed spending $1.15 trillion to cancel all federal student loan debt. Under this policy every American with outstanding federal student loans would have their entire debt forgiven, regardless of their income.",Democrats support this policy because they say it would provide relief to millions of hardworking Americans struggling with student debt.,Democrats support this policy because they say education is a right and no one should have to be burdened with debt to get a degree.,"Republicans oppose this bill because they say it would cost taxpayers far too much money, while being unfair to those who already paid off their loans.","Republicans oppose this bill because they say that with inflation already too high, we shouldn't be spending a trillion dollars to pay back loans that people took out voluntarily."
"Increase STEM visas from 75,000 a year to 150,000",114,-13,0.5,"Some Democrats in Congress have proposed increasing the number of green cards available to immigrants with high value skills in the science and technology industry from 75,000 to 150,000 per year. Under this bill, more non-citizens who are skilled at math, engineering, science, and technology would be allowed to come to America and legally work for U.S. companies.",Democrats support this policy because they say that increasing the number of high skilled workers will boost our economy and create jobs.,Democrats support this policy because they say that bringing top science and technology students into the American economy will help America compete with China and ensure our economy remains the most advanced in the world.,Republicans oppose this policy because they say we have already had far too much immigration in recent years and we need to prioritize Americans over foreign workers.,Republicans oppose this policy because they say that letting more immigrants into our country will cost hard working Americans their jobs.
Make D.C. a state,125,-13,0.5,"Some Democrats in Congress have proposed making Washington, D.C. the 51st state. Under this policy, the District of Columbia would become a state with full voting representation in Congress, including two Senators and one Representative, and the ability to fully govern itself. The plan would maintain a smaller federal district that includes the White House, the Capitol, and other core federal buildings.","Democrats support this policy because they say it's fundamentally unjust that over 700,000 American citizens who pay federal taxes have no voting representation in Congress and no control over their local affairs.",Democrats support this policy because they say it upholds democratic principles by ensuring all Americans have equal representation and self-governance.,Republicans oppose this policy because they say DC statehood is just about adding two guaranteed Democratic Senators and unfairly altering the balance of power in Congress.,"Republicans oppose this policy because they say our founding fathers intended the capital to be independent of any state, and DC's unique status is crucial to its role as the seat of federal government."
Make private Medicare Advantage plans the default for Medicare,126,-13,0.5,"Some Republicans in the Trump administration are proposing to make private Medicare Advantage plans the default option for Medicare healthcare plans. Under this policy, the Trump administration would elevate private Medicare Advantage plans as the primary insurance coverage for seniors, instead of the traditional Medicare plan administered by the federal government.",Democrats oppose this policy because they believe it will raise healthcare costs and reduce the quality of care for millions of seniors.,"Democrats oppose this policy because they argue that privatizing Medicare would end traditional Medicare, leading to higher costs and fewer healthcare options for seniors.",Republicans support this policy because they believe reforms are needed to make Medicare more sustainable and reduce overall government spending.,Republicans support this policy because they argue that using private plans instead of government-run Medicare will cut government costs and make healthcare more efficient for seniors.
Ban offshore drilling,17,-14,0.5,Some Democrats in Congress have proposed banning all offshore oil drilling. Under this policy oil companies would no longer be allowed to drill for oil in any waters off the coast of the United States.,"Democrats support this policy because they say banning offshore drilling will lead to cleaner water, cleaner coastal environments, and lower carbon emissions.",Democrats support this policy because they say we must take action to protect our environment and transition away from fossil fuels.,Republicans oppose this bill because they say it would eliminate thousands of good-paying energy jobs and make America more dependent on foreign oil.,Republicans oppose this bill because they say we shouldn't be restricting energy production when gas prices and inflation are already too high.
Reduce the independence of the Federal Reserve,158,-14,0.25,"Some Republicans in the Trump administration have proposed reducing the independence of the Federal Reserve, the central bank of the United States. Under this proposals, the president would have more influence over monetary policy decisions such as determining interest rates, and would be allowed to fire Federal Reserve appointees who had previously been confirmed by the Senate.",Democrats oppose this policy because they say politicizing the Federal Reserve would lead to dangerous short-term thinking about interest rates tied to election cycles rather than economic stability.,Democrats oppose this policy because they say central bank independence is essential for maintaining investor confidence and preventing political manipulation of the economy.,Republicans support this policy because they say unelected Fed officials currently wield enormous power over the economy without adequate accountability to voters or their elected representatives.,"Republicans support this policy because they say the Federal Reserve has repeatedly failed to prevent economic bubbles and recessions, and greater oversight is needed to ensure monetary policy serves the American people."
Repeal NEPA,165,-14,0.5,"Some Republicans in the Trump administration are proposing to repeal the National Environmental Protection Act (NEPA), which requires environmental impact analyses for new building projects. Under this policy, the Trump administration would eliminate environmental reviews for construction projects, including fossil fuel and renewable energy developments, to accelerate building processes.","Democrats oppose this policy because they say NEPA provides crucial protections that prevent environmental damage, public health hazards, and repealing it would harm low-income communities with poorly planned developments.","Democrats oppose this policy because they say it would hurt the environment and endanger public health by resulting in unsafe building projects, and that eliminating environmental review goes too far.","Republicans support this policy because they say that with inflation on the rise, it's important to get rid of unnecessary regulations that increase costs, cost jobs, and hurt the economy.","Republicans support this policy because they say cutting red tape will lower costs and increase American energy production and infrastructure development, while still maintaining reasonable environmental safeguards."
Expand the Supreme Court to 13 members,78,-15,0.5,"Some Democrats in Congress have proposed a bill that would increase the number of justices on the Supreme Court from 9 to 13. 

",Democrats support this policy because they say it would restore balance to a court packed with extreme conservatives through unfair tactics.,"Democrats support this policy because they say the court needs reform in order to protect our rights, like voting rights and abortion rights.",Republicans oppose this bill because they say we shouldn't destroy the court's legitimacy and independence by turning it into a political institution.,Republicans oppose this bill because they say court packing would undermine our democracy and destroy the balance and independence of the court.
Free public college tuition (universal),86,-15,0.5,"Some Democrats in Congress have proposed spending $100 billion dollars a year to make public college tuition free for all Americans, regardless of income. Under this bill, any American student who is accepted into a public college or university would be allowed to attend for free.  
","Democrats support this policy because they say higher education should be a right for all Americans, not a privilege for the wealthy, and this policy would boost economic mobility and productivity nationwide.","Democrats support this policy because they say it recognizes education is essential for competing in the global economy and should be accessible to everyone, regardless of family income.","Republicans oppose this policy because they say we shouldn't force taxpayers, including those who didn't attend college, to pay hundreds of billions of dollars to pay for other people's choice to go to college.",Republicans oppose this policy because they say we shouldn't be spending hundreds of billions of dollars on new programs with inflation and the national debt already too high.
Let the ACA tax credits expire,120,-15,0.5,"Some Republicans in the Trump administration are proposing to let the Affordable Care Act (ACA) tax credits expire. Under this policy, the Trump administration would allow the ACA tax credits to expire, which currently lower healthcare premiums and limit out-of-pocket-costs for low-income Americans.","Democrats oppose this policy because they say letting these tax credits expire would increase healthcare costs for low- and middle-income families, leading to more uninsured Americans and worsening health disparities.",Democrats oppose this policy because they say it would limit and reduce the quality of healthcare.,Republicans support this policy because they say reforms are needed to make healthcare coverage more sustainable and reduce overall government spending.,"Republicans support this policy because they say allowing these tax credits to expire would reduce government spending and incentivize individuals to seek more affordable, market-driven health insurance options."
Repeal the Jones Act,169,-15,0.5,"Some Democrats in Congress have proposed repealing the Jones Act. The Jones Act is a law that requires that all goods transported by sea between American ports be carried on ships that were built in the United States and primarily crewed by American workers. Under this bill, companies would be allowed to use ships built in other countries to ship goods between American ports.","Democrats support this policy because they say the Jones Act dramatically increases shipping costs, particularly to Hawaii, Alaska, and Puerto Rico, raising consumer prices and limiting economic opportunity in these regions.","Democrats support this policy because they say that with costs on the rise, we should be reducing unnecessary regulations that raise prices, cost jobs, and hurt the economy.","Republicans oppose this policy because they say that the Jones Act is essential to promoting domestic shipbuilding and manufacturing, and that eliminating it will cost thousands of good-paying jobs.","Republicans oppose this policy because they say we need to have a strong domestic shipbuilding industry in order to compete with China, and that eliminating the Jones Act weakens our national security."
Free child care (universal),82,-16,0.75,"Some Democrats in Congress have proposed spending $60 billion a year to make child care free for all American families. Under this bill, all American families with children between the age of 0 and 3, regardless of income, would have their child care costs paid for by the federal government.",Democrats support this policy because they say that child care is unaffordable for far too many Americans. They say that this bill will ensure every family can afford daycare for their children.,Democrats support this policy because they say it will lower costs for working families while ensuring children receive quality care during their most critical developmental years.,Republicans oppose this policy because they say we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,"Republicans oppose this policy because they say spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs."
Freeze biomedical research funding,89,-16,0.25,"Some Republicans in the Trump administration are proposing to halt biomedical research grant reviews at the National Institutes of Health. Under this policy, the Trump administration will suspend the approval process for billions in medical research grants.",Democrats oppose this policy because they say it puts America's scientific leadership at risk.,"Democrats oppose this policy because they say it threatens breakthrough research on cancer, Alzheimer's, and other diseases while forcing universities to freeze hiring and cut jobs in research labs.",Republicans support this policy because they say government spending needs greater accountability and oversight.,Republicans support this policy because they say it allows for proper review of spending priorities and ensures taxpayer money isn't funding politically biased research.
Provide grants to cities and towns conditional on allowing more multi-family housing,147,-16,0.5,"Some Democrats in Congress have proposed providing conditional grants to communities that allow more multi-family housing development. Under this policy, the government would offer $15 billion annually to localities that change zoning laws to permit more apartment buildings and denser housing construction.",Democrats support this policy because they say it will help address the housing affordability crisis by increasing supply and giving more Americans access to housing.,Democrats support this policy because they say it creates more inclusive communities while addressing one of the biggest cost pressures facing American families.,"Republicans oppose this policy because they say it represents government overreach into zoning decisions that should be made by local communities, not by the federal government.",Republicans oppose this policy because they say it would change the character of family neighborhoods and reduce property values for homeowners who worked hard to live there.
Reduce military spending by 10%,156,-16,0.5,"Some Democrats in Congress have proposed reducing the budget for our military by 10%, saving $85 billion dollars a year. The money saved would be redirected towards increasing spending on health care, infrastructure, and education. 

","Democrats support this policy because they say America spends more on its military than the next ten countries combined, and these funds would better serve citizens through investments in healthcare and education.","Democrats support this policy because they say that we spend enough money on defense that cutting spending won't jeopardize our national security, and this policy will provide funding to important domestic programs.","Republicans oppose this policy because they say we shouldn't be weakening America's military readiness and making our country less secure at a time of growing threats from China, Russia, and terrorist groups.","Republicans oppose this policy because they say a strong military is essential to protect American interests and prevent conflicts, and cutting funding would endanger our troops and our national security."
Repeal the ACA,166,-16,0.75,"Some Republicans in the Trump administration are proposing to repeal the Affordable Care Act (ACA). Under this policy, the Trump administration will repeal the ACA, which currently provides a marketplace for people to find health insurance plans and imposes requirements on employers to offer health insurance to full-time employees.","Democrats oppose this policy because they say repealing the ACA would strip healthcare coverage from millions of people, allow insurance companies to discriminate against people with pre-existing conditions, and eliminate other important healthcare protections.",Democrats oppose this policy because they say it would limit and reduce the quality of healthcare.,Republicans support this policy because they say repealing the ACA would reduce government spending and promote a more market-driven healthcare system.,Republicans support this policy because they say reforms are needed to make healthcare coverage more sustainable and reduce overall government spending.
Decriminalize the possession of small amounts of illegal drugs for personal use,46,-17,0.5,"Some Democrats in Congress have proposed decriminalizing possession of small amounts of illegal drugs for personal use. Under this policy, people caught with personal-use quantities of drugs like cocaine, heroin, and methamphetamine would not face criminal charges but would instead be referred to treatment services.","Democrats support this policy because they say criminalizing addiction has failed, overcrowded our prisons with nonviolent offenders, and disproportionately harmed communities of color without reducing drug use.","Democrats support this policy because they say addiction should be treated as a public health issue rather than a criminal one, focusing on treatment instead of punishment.","Republicans oppose this policy because they say removing criminal penalties would normalize dangerous drug use, send the wrong message to young people, and lead to increased addiction and community deterioration.","Republicans oppose this policy because they say that we shouldn't be legalizing the use of dangerous drugs, especially with crime already on the rise."
Reorganize the Health and Human Services Department,163,-17,0.25,"Some Republicans in the Trump administration are proposing to reorganize the Department of Health and Human Services (HHS). Under this policy, the Trump administration would replace all of the employees of certain HHS departments like the National Institute of Health and entirely eliminate others like the nutrition department.","Democrats oppose this policy because they say it would undermine critical public health and social services, disproportionately harming vulnerable populations.","Democrats oppose this policy because they say it would remove experts from the government, who provide critical services and keep citizens informed and safe.","Republicans support this policy because they say it would streamline the HHS, cut red tape, and reduce government spending.",Republicans support this policy because they say it would cut down on unnecessary government spending and reduce the burden on taxpayers.
Create a $1000 a year universal basic income,30,-19,0.5,"Some Democrats in Congress have proposed spending $260 billion dollars a year to give $1,000 per year to every American over the age of 18. Under this bill, the money would be paid out as a “universal basic income” to every American adult, no matter who they are.",Democrats support this policy because they say it provides a basic financial floor that acknowledges everyone's right to share in America's prosperity while boosting consumer spending and economic growth.,Democrats support this policy because they say it reduces poverty and provides security in an economy increasingly affected by automation and job displacement.,"Republicans oppose this policy because they say spending hundreds of billions of dollars on a new program without work requirements will require tax increases to fund, which will hurt our economy and cost jobs.","Republicans oppose this policy because they say we shouldn't be spending hundreds of billions of dollars on new programs with inflation and the national debt already too high, especially without work requirements."
Defund Planned Parenthood,48,-19,1,"Some Republicans in the Trump administration are proposing to prohibit Planned Parenthood from receiving federal funds. Under this policy, the Trump administration will ensure that Planned Parenthood is no longer able to access Medicaid funds, grants, or any other federal support.",Democrats oppose this policy because they say it will infringe on the freedom to make private healthcare decisions for millions of Americans.,"Democrats oppose this policy because they say Americans should be allowed to use the benefits they've paid for to make their own medical decisions, without government interference.","Republicans support this policy because they say that states should be the ones to decide abortion laws, not the federal government.",Republicans support this policy because they say taxpayer money should not be going towards abortions when many taxpayers do not support them.
Pardon January 6th participants,131,-19,1,"Some Republicans in the Trump administration are proposing to pardon January 6th participants. Under this policy, the Trump administration would pardon around 1400 people who were charged in connection with the January 6, 2021 attack on the Capitol.","Democrats oppose this policy because they say it would send the message that a President can decide who is above the law, undermining our legal system.","Democrats oppose this policy because they say it would send a dangerous message that violent insurrection is acceptable, undermining our legal system and weakening the democratic institutions that the U.S. was built upon.",Republicans support this policy because they say it would promote the national healing and reconciliation that the U.S. needs in order to move forward.,Republicans support this policy because they say it would help unite the country and provide justice to citizens who were politically persecuted by Democrats.
Cancel Biden's AI regulations,23,-20,0.5,Some Republicans in the Trump administration are proposing to rescind federal safety standards for artificial intelligence. Under this policy the Trump administration will eliminate Biden's executive order on AI safety and oversight.,Democrats oppose this policy because they say removing AI safeguards leaves Americans vulnerable to job displacement security risks and algorithmic discrimination.,Democrats oppose this policy because they say it represents dangerous deregulation of powerful technology.,Republicans support this policy because they say we must reduce government interference in technology.,Republicans support this policy because they say AI regulations stifle American innovation and give foreign competitors an advantage in developing new technologies.
"Create a $3,000 child allowance available to all families",31,-20,0.75,"Some Democrats in Congress have proposed spending $188 billion a year to provide a $300 per month cash benefit to families with children under the age of 6, and a $250 per month cash benefit to families with children between the ages of 6 and 18. This benefit would be available to all families, regardless of income.","Democrats support this policy because they say it would cut child poverty in half while helping families afford food, clothes, childcare, and other necessities.","Democrats support this policy because they say raising children is expensive, and working families deserve some additional support.",Republicans oppose this bill because they say it would cost taxpayers hundreds of billions at a time when inflation and the national debt are already too high.,"Republicans oppose this bill because they say welfare programs should have work requirements and income limits, which this policy doesn't."
"Eliminate several federal agencies (NOAA, DHS, TSA, Department of Education)",55,-20,0.5,"Some Republicans in the Trump administration are proposing to eliminate several federal agencies. Under this policy, the Trump administration would eliminate federal agencies including the Department of Education, Department of Homeland Security, the National Oceanic and Atmospheric Administration (NOAA), and the Transportation Security Administration (TSA).",Democrats oppose this policy because they say it would hinder critical services that keep citizens informed and safe.,Democrats oppose this policy because they say eliminating or privatizing federal agencies would hinder critical services that keep citizens informed and safe and lead to layoffs of thousands of federal employees.,Republicans support this policy because they say it would cut down on unnecessary government spending and reduce the burden on taxpayers.,"Republicans support this policy because they say eliminating or privatizing federal agencies would reduce wasteful spending, decrease government bureaucracy, and restore power to the states."
Leave NATO,119,-20,0.5,"Some Republicans in the Trump administration are proposing to withdraw the United States from the North Atlantic Treaty Organization, or NATO. NATO is a military alliance founded in 1949 which includes more than 30 member countries in Europe and North America. Under this new proposal, the U.S. would end its membership in the military alliance.","Democrats oppose this policy because they say NATO has been the cornerstone of Western security for over 70 years, and American withdrawal would abandon our allies while emboldening Russia and other adversaries.",Democrats oppose this policy because they say it would damage America's global leadership role and make the world less stable and more dangerous for everyone.,Republicans support this policy because they say European nations have failed to meet their defense spending commitments while relying on American taxpayers to subsidize their security for decades.,Republicans support this policy because they say America should prioritize our own national interests rather than being entangled in expensive foreign alliances that don't serve our strategic goals.
Require cities and towns to allow more multifamily housing and apartment buildings,173,-20,0.5,"Some Democrats in Congress have proposed reforming zoning laws around the country. Under this policy, cities and towns would be required to allow multi-family homes and apartment buildings to be built in more areas than under current policy.","Democrats support this policy because they say we need to address housing shortages, which have driven up costs and made it impossible for many Americans to find affordable housing near where they work.","Democrats support this policy because they say everyone deserves access to affordable housing in safe neighborhoods with good schools and economic opportunity, and that this policy will lower costs.","Republicans oppose this policy because they say local communities should be able to make their own zoning decisions based on local needs and preferences, not federal mandates that override local control.",Republicans oppose this policy because they say it would destroy neighborhood character and suburban lifestyles while unfairly reducing property values for homeowners who worked hard to live there.
Prohibit shipment of abortion-inducing drugs,142,-21,0.75,"Some Republicans in the Trump administration are proposing to prohibit the shipment of medicine used in abortions. Under this policy, the Trump administration will prevent the US Postal Service and any other mail services from carrying medicines that are used to induce abortions.","Democrats oppose this policy because they say women need access to these medications in cases of miscarriages and other pregnancy complications, and these decisions should be between women and their doctor – not the government.",Democrats oppose this policy because they say it will infringe on the freedom to make private healthcare decisions for millions of Americans.,"Republicans support this policy because they say that the federal government has a responsibility to take reasonable steps to restrict abortion access, because the government should protect life.","Republicans support this policy because they say that people are using the mail as a way around state and local governments' abortion laws, and if a state decides to restrict abortion, these medications should not be readily available through the mail."
Subsidize electric vehicle purchases,186,-21,0.75,"Some Democrats in Congress have proposed spending $25 billion dollars a year to expand subsidies for electric vehicles. Under this proposal, Americans who purchase new electric cars or trucks would receive tax credits of up to $7,500 to help them pay for these electric vehicles.","Democrats support this policy because they say it will accelerate the transition to clean transportation, reduce carbon emissions, and help combat climate change while creating manufacturing jobs.",Democrats support this policy because they say it makes cleaner vehicles more affordable for everyday Americans while reducing dependence on fossil fuels.,Republicans oppose this policy because they say it's a taxpayer-funded subsidy primarily benefiting wealthy Americans who can already afford expensive electric vehicles.,Republicans oppose this policy because they say we shouldn't be spending tens of billions on unnecessary programs with inflation and the national debt already too high.
Take Mifepristone off the market,188,-21,1,"Some Republicans in the Trump administration are proposing to revoke the FDA approval of Mifepristone. Under this policy, the Trump administration would roll back approval of Mifepristone, the medicine used in abortions, so that doctors would no longer be legally allowed to prescribe it.","Democrats oppose this policy because they say that mifepristone has been safely prescribed for decades, and there's no medical justification to limit access to a drug used in life-saving medical care for women experiencing pregnancy complications.",Democrats oppose this policy because they say it will infringe on the freedom to make private healthcare decisions for millions of Americans.,"Republicans support this policy because they say that the federal government has a responsibility to take reasonable steps to restrict abortion access, because the government should protect life.",Republicans support this policy because they say that mifepristone has caused medical complications for women and it should be studied further before it is prescribed to more women.
Cut Social Security and Medicare to try to eliminate fraud,41,-22,0.5,"Some Republicans in the Trump administration are proposing to make cuts to Social Security and Medicare programs over the next ten years. Under this policy, the Trump administration will identify and eliminate what they describe as waste and fraud in these entitlement programs.",Democrats oppose this policy because they say it breaks repeated promises not to touch Social Security and Medicare.,Democrats oppose this policy because they say putting billionaire tech executives in charge of seniors' retirement security threatens benefits that Americans have earned over a lifetime of work.,Republicans support this policy because they say using advanced data analysis will eliminate a trillion dollars in waste and fraud from bloated entitlement programs.,Republicans support this policy because they say we need to save these programs from bankruptcy.
"Increase taxes by 3% on Americans making more than $75,000 in order to increase spending on health care, infrastructure, and education",115,-22,0.75,"Some Democrats in Congress have proposed increasing taxes on Americans making more than $75,000 a year by 3%, in order to pay for increases in spending on social programs. Under this bill, all Americans making more than $75,000 a year would pay 3% more of their income in taxes to the federal government. The additional tax revenue would be spent on increasing funding for health care, infrastructure, and education.","Democrats support this policy because they say it will give us needed revenue to invest in critical programs that benefit all Americans, including those paying more.",Democrats support this policy because they say everyone needs to contribute their fair share to strengthen our society and fund important programs.,"Republicans oppose this bill because they say we shouldn't be raising taxes on middle class families, especially while they're already struggling with inflation.",Republicans oppose this bill because they say significantly raising taxes on working Americans would hurt the economy and cost jobs.
Raise the retirement age,153,-24,0.75,"Some Republicans in the Trump administration have proposed gradually raising the retirement age by 5 years over the next 10 years. Under this law, the age that Americans would become eligible for programs like Medicare and Social Security would increase from 65 to 70 over time.","Democrats oppose this policy because they say these are programs that Americans have paid into all their lives, and that to stop them from going bankrupt we should raise taxes on the wealthy rather than change benefits.","Democrats oppose this policy because they say these programs are a lifeline for millions of Americans who rely on them, and we shouldn't be taking them away, especially with the cost of living on the rise.",Republicans support this policy because they say it's a responsible way to keep Social Security and Medicare solvent for future generations as life expectancy increases and the population ages.,"Republicans support this policy because they say it is the only way to prevent these programs from going bankrupt without cutting benefits, and that it will boost the economy by encouraging more people to work."
Reduce occupational licensing requirements,157,-25,0.5,"Some Democrats in Congress have proposed reducing the requirements to get an occupational license. Under this bill, the requirements to acquire a license for many jobs, such as hairdressers, nail salons, child care workers, and more, would be reduced.","Democrats support this policy because they say that with inflation on the rise, we should be removing regulations that drive up costs for consumers and create create barriers to employment for low-income workers.",Democrats support this policy because they say it promotes economic mobility and creates more pathways to the middle class for hardworking people looking to find good-paying jobs.,Republicans oppose this policy because they say it undermines established business owners by forcing them to compete with untrained people who might endanger their customers.,"Republicans oppose this policy because they say current licensing policy works fine, and this is an unnecessary reform that risks harming consumers and legalizing unsafe businesses."
Extend date of TikTok sale,79,-26,0.5,Some Republicans in the Trump administration are proposing to give Chinese-owned TikTok more time to arrange a sale to US buyers. Under this policy the Trump administration will delay implementing a ban to allow more time for a deal.,Democrats oppose this policy because they say it represents chaotic policymaking.,Democrats oppose this policy because they believe it undercuts bipartisan consensus for stringent tech oversight against Chinese surveillance.,Republicans support this policy because they say we need a smart approach to Chinese-owned technology.,Republicans support this policy because they say giving more time for a US company to buy TikTok is better than an immediate ban that could face legal challenges.
Restore affirmative action in college admissions,180,-26,0.75,"Some Democrats in Congress have proposed a bill that would restore the right of colleges to use “affirmative action” programs in their admissions decisions. Under this bill, public and private colleges would once again be allowed to consider the race of an applicant when deciding whether to admit them. 

",Democrats support this policy because they say it helps overcome systemic barriers and creates opportunities for underrepresented minorities.,Democrats support this policy because they say that a diverse student body strengthens education for everyone.,Republicans oppose this bill because they say it's not fair to discriminate against students who earn top scores just because they are white or Asian.,"Republicans oppose this bill because they say admissions should be based only on merit, not on race."
"Create a ""Baby Bonds"" program",29,-28,0.5,"Some Democrats in Congress have proposed spending $75 billion a year to create what they call “baby bonds.” Under this bill, every child born in America would be given a savings account with $1,000 dollars in it. Every year after, the government would deposit more money in the account, with children from poorer families receiving more, and children from wealthier families receiving less. After becoming adults, they would be allowed to use the money for certain purposes, such as buying a home or paying for college.","Democrats support this policy because they say it will help close the racial wealth gap and give all young Americans a financial foundation for education, homeownership, or entrepreneurship regardless of their parents' resources.",Democrats support this policy because they say it creates more equal opportunity and helps break cycles of poverty by ensuring all young adults have assets to invest in their future.,"Republicans oppose this policy because they say spending hundreds of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",Republicans oppose this policy because they say we shouldn't be spending hundreds of billions of dollars on new programs with inflation and the national debt already too high.
Eliminate NOAA,53,-33,0.25,"Some Republicans in the Trump administration are proposing to eliminate the National Oceanic and Atmospheric Administration (NOAA), which monitors weather, oceans, climate, and environment. Under this policy, the Trump administration would dismantle NOAA and the National Weather Service.","Democrats oppose this policy because they say it will lead to more severe natural disasters and other negative impacts of climate change, putting Americans in harm's way.","Democrats oppose this policy because they say eliminating NOAA would hinder critical services like the National Weather Service that keep citizens informed and safe, particularly during natural disasters like hurricanes and forest fires.",Republicans support this policy because they say it will promote economic growth and freedom.,"Republicans support this policy because they say eliminating NOAA would reduce government spending by consolidating weather monitoring responsibilities with other agencies, promoting efficiency and cutting red tape."
Increase refugee admissions,109,-33,0.5,"Some Democrats in Congress have proposed a bill that would increase the number of refugees allowed to come to America. Under this bill, the number of refugees allowed to come to America each year would be increased from 15,000 a year to 125,000 a year.",Democrats support this policy because they say that turning away people fleeing violence and persecution in their home countries is wrong.,Democrats support this policy because they say refugees are hardworking and admitting more will make our country stronger by creating jobs and growing our economy.,Republicans oppose this bill because they say we can't properly vet so many refugees and we should focus on helping American citizens first.,Republicans oppose this bill because they say that refugees are more likely to commit crimes than Americans are and this will make our communities less safe.
Ban IVF,16,-36,1,Some Republicans in the Trump administration are proposing to ban in vitro fertilization (IVF) treatments nationwide. IVF is a medical procedure used to help individuals or couples conceive a child. Under this policy the Trump administration will prohibit medical facilities from providing IVF procedures.,Democrats oppose this policy because they say it's not right to deny thousands of Americans struggling with infertility their best chance to have children.,"Democrats oppose this policy because they say medical decisions should be between patients and their doctors, not politicians.",Republicans support this policy because they say IVF results in the destruction of embryos which are human life.,Republicans support this policy because they say government must protect life from the moment of conception.
Get rid of tracking in public schools,90,-39,0.5,"Some Democrats in Congress have proposed to end the practice of separating students into different academic tracks based on test scores. Under this policy, public schools would be required to place all students in the same classes regardless of academic ability or achievement.",Democrats support this policy because they say tracking often reinforces racial and socioeconomic disparities and denies opportunities to disadvantaged students who could excel with proper support.,Democrats support this policy because they say all students benefit from diverse learning environments where everyone receives challenging instruction with appropriate support.,Republicans oppose this policy because they say eliminating advanced classes would hold back gifted students and lead to declining academic standards as teachers are forced to teach to the middle.,"Republicans oppose this policy because they say this is unfair to more advanced students, who deserve to be able to learn as much as possible. By getting rid of gifted programs, we’re hurting our most talented children."
Raise the gas tax by 10 cents a gallon,150,-40,0.5,Some Democrats in Congress have proposed increasing the federal gas tax by 10 cents per gallon and indexing it to inflation. Under this policy the gas tax would rise from 18.4 to 28.4 cents per gallon with automatic future increases to match inflation.,Democrats support this policy because they say it would fund critical infrastructure improvements while reducing carbon emissions.,Democrats support this policy because they say we need sustainable funding to rebuild America's crumbling infrastructure.,"Republicans oppose this bill because they say it would hurt working families who rely on their cars, and increase costs for small businesses.",Republicans oppose this bill because they say Americans are already paying too much in taxes and gasoline is already too expensive.
Launch a national Trump branded cryptocurrency,118,-43,0.25,Some Republicans in the Trump administration are proposing to create an official Trump-branded digital currency. Under this policy the Trump administration will launch and promote a new cryptocurrency token tied to the Trump brand.,Democrats oppose this policy because they say it represents an abuse of public office.,Democrats oppose this policy because they say it inappropriately uses the presidency for personal profit and could mislead supporters into risky crypto investments.,Republicans support this policy because they say we need American innovation in digital currency.,Republicans support this policy because they say it will help establish American leadership in cryptocurrency markets while giving supporters a way to invest in Trump's vision.
Ban birth control,10,-45,0.25,"Some Republicans in the Trump administration are proposing to ban birth control nationwide. Under this policy the Trump administration will prohibit the sale and purchase of contraceptive pills, Plan B, and IUDs.",Democrats oppose this policy because they say it's not right to deny millions of women access to basic healthcare and family planning options.,Democrats oppose this policy because they say women should have the freedom to make their own healthcare choices without interference from politicians.,Republicans support this policy because they say some contraceptives can terminate early pregnancies which are human life.,"Republicans support this policy because they say life begins at conception and must be protected, making birth control immoral."
