Policy,Coding,Bipartisan,Tag,Topic,Net Support,Democratic Position Support,Republican Position Support,Normie Position,Position Support,Opposition Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2,Supporter Argument 1,Supporter Argument 2,Opponent Argument 1,Opponent Argument 2,Net Support (%),Democratic Position Support (%),Republican Position Support (%),Normie Position (%),Position Support (%),Opposition Support (%)
"Police reform (banning chokeholds, increasing misconduct investigations, stricter rules on use of force)",Democratic,,134,,15,57,42,57,57,42,0.75,"Some Democrats in Congress have proposed a bill to reform policing. This policy would create stricter rules on use of force by police officers, require that all police officers wear body cameras, and increase investigations into police department misconduct.",it would increase accountability and prevent discriminatory policing and excessive force.,these are modest reforms that will improve the safety of civilians while not hindering police officers from doing their jobs.,it would make officers hesitate in dangerous situations and embolden criminals.,we shouldn't be undermining law enforcement with crime on the rise.,it would increase accountability and prevent discriminatory policing and excessive force.,these are modest reforms that will improve the safety of civilians while not hindering police officers from doing their jobs.,it would make officers hesitate in dangerous situations and embolden criminals.,we shouldn't be undermining law enforcement with crime on the rise.,15.40%,57.70%,42.30%,57.70%,57.70%,42.30%
Raise the retirement age,Republican,,153,,-24,62,37,62,37,62,0.75,"Some Republicans in the Trump administration have proposed gradually raising the retirement age by 5 years over the next 10 years. Under this law, the age that Americans would become eligible for programs like Medicare and Social Security would increase from 65 to 70 over time.","these are programs that Americans have paid into all their lives, and that to stop them from going bankrupt we should raise taxes on the wealthy rather than change benefits.","these programs are a lifeline for millions of Americans who rely on them, and we shouldn't be taking them away, especially with the cost of living on the rise.",it's a responsible way to keep Social Security and Medicare solvent for future generations as life expectancy increases and the population ages.,"it is the only way to prevent these programs from going bankrupt without cutting benefits, and that it will boost the economy by encouraging more people to work.",it's a responsible way to keep Social Security and Medicare solvent for future generations as life expectancy increases and the population ages.,"it is the only way to prevent these programs from going bankrupt without cutting benefits, and that it will boost the economy by encouraging more people to work.","these are programs that Americans have paid into all their lives, and that to stop them from going bankrupt we should raise taxes on the wealthy rather than change benefits.","these programs are a lifeline for millions of Americans who rely on them, and we shouldn't be taking them away, especially with the cost of living on the rise.",-24.40%,62.20%,37.80%,62.20%,37.80%,62.20%
Extend the Trump 2017 tax cut for high earners,Republican,,80,,-26,63,36,63,36,63,0.75,"Some Republicans in the Trump administration are proposing to make permanent and expand the 2017 tax cuts for high-income earners. Under this policy, the Trump administration will extend tax cuts that provide an average $60,300 benefit to the top 1% of households.",it increases the deficit to benefit the wealthy.,these tax cuts give massive breaks to billionaires while the middle class only gets about $660 on average.,lower taxes on job creators and investors will boost economic growth and create opportunities for all Americans.,"we need to reward success and encourage investment.,",lower taxes on job creators and investors will boost economic growth and create opportunities for all Americans.,"we need to reward success and encourage investment.,",it increases the deficit to benefit the wealthy.,these tax cuts give massive breaks to billionaires while the middle class only gets about $660 on average.,-26.20%,63.10%,36.90%,63.10%,36.90%,63.10%
Ban congressional stock trading,Democratic,T,12,,33,66,33,66,66,33,0.75,"Some members of Congress have proposed preventing members of Congress and their families from trading stocks. Under this policy, lawmakers would be prohibited from buying or selling stocks while in office and would forfeit their salaries if they use insider information for stock purchases.",this is a common sense proposal supported by both Democrats and Republicans. They say we can all agree that Congressmen shouldn’t be getting rich off of their position.,this bill will reduce corruption. They say that a ban on stock trading will ensure that Congressmen don’t pass laws to help companies just because they have stock in them.,it unfairly restricts the financial freedom of public servants who already sacrifice lucrative private sector opportunities to serve in government.,"it creates bureaucratic restrictions that will deter qualified candidates from running for office, leading to worse government.",this is a common sense proposal supported by both Democrats and Republicans. They say we can all agree that Congressmen shouldn’t be getting rich off of their position.,this bill will reduce corruption. They say that a ban on stock trading will ensure that Congressmen don’t pass laws to help companies just because they have stock in them.,it unfairly restricts the financial freedom of public servants who already sacrifice lucrative private sector opportunities to serve in government.,"it creates bureaucratic restrictions that will deter qualified candidates from running for office, leading to worse government.",33.60%,66.80%,33.20%,66.80%,66.80%,33.20%
Comprehensive immigration reform,Democratic,,26,,-6,46,53,53,46,53,1,"Some Democrats in Congress have proposed comprehensively reforming America's immigration system by combining a path to citizenship for undocumented immigrants with increased border security. Under this policy, undocumented immigrants in the United States would be allowed to become citizens after several years, and additional money would be spent on securing the border.",it offers a balanced approach that secures our borders while ensuring immigrants who are already here are treated fairly.,"this is a common sense solution that allows undocumented immigrants already here to fully participate in our economy and society, while securing our border.",we shouldn't be giving citizenship to illegal immigrants when illegal immigration is already far too high.,we need to secure our border and focus on helping American citizens before we think about giving illegal immigrants citizenship.,it offers a balanced approach that secures our borders while ensuring immigrants who are already here are treated fairly.,"this is a common sense solution that allows undocumented immigrants already here to fully participate in our economy and society, while securing our border.",we shouldn't be giving citizenship to illegal immigrants when illegal immigration is already far too high.,we need to secure our border and focus on helping American citizens before we think about giving illegal immigrants citizenship.,-6.40%,46.80%,53.20%,53.20%,46.80%,53.20%
Restrict export of semiconductors to China,Democratic,,181,,11,55,44,55,55,44,1,"Some Democrats in Congress have proposed preventing American companies and American allies from selling the most advanced type of computer chips to China, in order to prevent China from getting access to this advanced technology.","it will protect the United States, by ensuring the US military and the US economy remain the most technologically advanced in the world.","this policy will boost the domestic semiconductor manufacturing industry, creating thousands of good paying jobs.",it will interrupt global supply chains and increase costs for American businesses and consumers.,"export controls don't work, and China will buy these chips anyway, so American companies might as well benefit from selling them to China.","it will protect the United States, by ensuring the US military and the US economy remain the most technologically advanced in the world.","this policy will boost the domestic semiconductor manufacturing industry, creating thousands of good paying jobs.",it will interrupt global supply chains and increase costs for American businesses and consumers.,"export controls don't work, and China will buy these chips anyway, so American companies might as well benefit from selling them to China.",11.20%,55.60%,44.40%,55.60%,55.60%,44.40%
Abolish the death penalty,Democratic,,4,,-22,38,61,61,38,61,0.5,Some Democrats in Congress have proposed abolishing the death penalty nationwide. Under this policy states would no longer be allowed to execute prisoners.,"the death penalty is applied unfairly, often based on race and income.","too many innocent people have been wrongly executed, and life in prison is a better punishment that avoids irreversible mistakes.","the most violent criminals, like murderers and terrorists, deserve the ultimate punishment.","that with crime on the rise, we shouldn't be removing a deterrent against committing serious crimes.","the death penalty is applied unfairly, often based on race and income.","too many innocent people have been wrongly executed, and life in prison is a better punishment that avoids irreversible mistakes.","the most violent criminals, like murderers and terrorists, deserve the ultimate punishment.","that with crime on the rise, we shouldn't be removing a deterrent against committing serious crimes.",-22.20%,38.90%,61.10%,61.10%,38.90%,61.10%
Require congressional approval for new tariffs,Democratic,,174,,11,55,44,55,55,44,0.5,"Some Democrats in Congress have proposed requiring the president to get approval from Congress before enacting new tariffs on foreign trade. Under this policy, the president would not be allowed to create new taxes on imported goods without approval from the House and Senate.",it restores the constitutional balance of powers and prevents harmful trade wars that hurt American consumers and businesses through higher prices.,trade policy should reflect democratic consensus rather than presidential whims that can disrupt global markets and diplomatic relationships.,it would prevent the president from being able to respond to unfair trade practices and negotiate better deals for American workers and businesses.,"Congress moves too slowly to effectively address rapidly changing trade situations, and the president needs flexibility to protect American economic interests.",it restores the constitutional balance of powers and prevents harmful trade wars that hurt American consumers and businesses through higher prices.,trade policy should reflect democratic consensus rather than presidential whims that can disrupt global markets and diplomatic relationships.,it would prevent the president from being able to respond to unfair trade practices and negotiate better deals for American workers and businesses.,"Congress moves too slowly to effectively address rapidly changing trade situations, and the president needs flexibility to protect American economic interests.",11.40%,55.70%,44.30%,55.70%,55.70%,44.30%
Reform the Electoral Count Act,Democratic,,160,,13,56,43,56,56,43,0.5,"Some Democrats in Congress, along with a significant number of Republicans, have proposed reforming the Electoral Count Act, which governs the certification of presidential elections. Under this policy, the rules for counting electoral votes would be clarified to prevent interference, and ensure that legitimate elections results cannot be overturned. The bill would also prevent states from changing their election laws after an election has already taken place.",it would prevent attempts to overturn legitimate election results and protect democracy from partisan manipulation.,voters and politicians from both parties agree that we need to prevent our elections from being tampered with.,it would weaken important safeguards against election fraud and irregularities.,states should maintain full control over their election processes.,it would prevent attempts to overturn legitimate election results and protect democracy from partisan manipulation.,voters and politicians from both parties agree that we need to prevent our elections from being tampered with.,it would weaken important safeguards against election fraud and irregularities.,states should maintain full control over their election processes.,13.00%,56.50%,43.50%,56.50%,56.50%,43.50%
Create a path to citizenship for some qualifying undocumented immigrants,Democratic,,34,,-1,49,50,50,49,50,1,"Some Democrats in Congress have proposed providing legal status and a path to citizenship for undocumented immigrants living in the United States. Under this policy, immigrants who are here illegally would be allowed to apply for citizenship after 8 years if they pass criminal background checks, pay their taxes, and pass the citizenship exam.",it would keep families together while bringing millions of undocumented immigrants out of the shadows to fully participate in society.,we are a nation of immigrants that should welcome those seeking a better life.,we shouldn't be rewarding illegal immigration with citizenship when we already have too many people crossing the border illegally.,we must secure the border before considering giving anyone citizenship.,it would keep families together while bringing millions of undocumented immigrants out of the shadows to fully participate in society.,we are a nation of immigrants that should welcome those seeking a better life.,we shouldn't be rewarding illegal immigration with citizenship when we already have too many people crossing the border illegally.,we must secure the border before considering giving anyone citizenship.,-1.80%,49.10%,50.90%,50.90%,49.10%,50.90%
Ban fracking,Democratic,,14,,-8,45,54,54,45,54,0.5,"Some Democrats in Congress have proposed banning “fracking” nationwide. Fracking is a technique used to extract oil and natural gas from underground. Under this policy, oil companies would no longer be allowed to use fracking to extract oil and natural gas from the ground within the United States.","banning fracking will lead to cleaner air, cleaner water, and lower carbon emissions.",we must take action to protect our environment and transition away from fossil fuels.,it would eliminate thousands of good-paying energy jobs and make America more dependent on foreign oil.,we shouldn't be restricting energy production when gas prices and inflation are already too high.,"banning fracking will lead to cleaner air, cleaner water, and lower carbon emissions.",we must take action to protect our environment and transition away from fossil fuels.,it would eliminate thousands of good-paying energy jobs and make America more dependent on foreign oil.,we shouldn't be restricting energy production when gas prices and inflation are already too high.,-9.00%,45.50%,54.50%,54.50%,45.50%,54.50%
End fossil fuel production on public lands,Democratic,,64,,-10,45,55,55,45,55,0.5,Some Democrats in Congress have proposed ending all fossil fuel production on public lands. Under this policy existing oil and gas projects on government-owned land would be canceled and no new drilling would be permitted on public lands.,public lands should be preserved for recreation and wildlife not exploited by oil companies that contribute to climate change.,we must take action to protect our environment and transition away from fossil fuels.,it would eliminate thousands of good-paying energy jobs and make America more dependent on foreign oil.,we shouldn't be restricting energy production when gas prices and inflation are already too high.,public lands should be preserved for recreation and wildlife not exploited by oil companies that contribute to climate change.,we must take action to protect our environment and transition away from fossil fuels.,it would eliminate thousands of good-paying energy jobs and make America more dependent on foreign oil.,we shouldn't be restricting energy production when gas prices and inflation are already too high.,-10.00%,45.00%,55.00%,55.00%,45.00%,55.00%
Ban offshore drilling,Democratic,,17,,-13,43,56,56,43,56,0.5,Some Democrats in Congress have proposed banning all offshore oil drilling. Under this policy oil companies would no longer be allowed to drill for oil in any waters off the coast of the United States.,"banning offshore drilling will lead to cleaner water, cleaner coastal environments, and lower carbon emissions.",we must take action to protect our environment and transition away from fossil fuels.,it would eliminate thousands of good-paying energy jobs and make America more dependent on foreign oil.,we shouldn't be restricting energy production when gas prices and inflation are already too high.,"banning offshore drilling will lead to cleaner water, cleaner coastal environments, and lower carbon emissions.",we must take action to protect our environment and transition away from fossil fuels.,it would eliminate thousands of good-paying energy jobs and make America more dependent on foreign oil.,we shouldn't be restricting energy production when gas prices and inflation are already too high.,-13.60%,43.20%,56.80%,56.80%,43.20%,56.80%
Raise the top marginal tax rate by 3%,Democratic,,154,,25,62,37,62,62,37,0.75,"Some Democrats in Congress have proposed increasing the top marginal tax rate from 37% to 40% for the highest-income Americans. Under this policy individuals earning more than $625,000 and couples earning more than $750,000 would have their tax rate raised by 3%.",the wealthiest Americans should pay their fair share in taxes.,"we need a tax system that works for everyone, not just the wealthy.",raising taxes on job creators would hurt economic growth.,the government already takes too much from successful Americans.,the wealthiest Americans should pay their fair share in taxes.,"we need a tax system that works for everyone, not just the wealthy.",raising taxes on job creators would hurt economic growth.,the government already takes too much from successful Americans.,25.80%,62.90%,37.10%,62.90%,62.90%,37.10%
Increase police funding,Republican,T,107,,29,35,64,64,64,35,0.75,"Some members of Congress have proposed a bill that would increase funding for the police. Under this bill, the federal government would provide an additional $25 billion a year to local governments to hire more police officers.",we should invest in prevention and community services rather than just adding more police officers.,"we need police reform that reduces police violence against unarmed civilians, not just more funding for police.",more officers on the streets will reduce crime and make communities safer.,"law enforcement needs more resources to protect public safety, especially with crime on the rise.",more officers on the streets will reduce crime and make communities safer.,"law enforcement needs more resources to protect public safety, especially with crime on the rise.",we should invest in prevention and community services rather than just adding more police officers.,"we need police reform that reduces police violence against unarmed civilians, not just more funding for police.",29.60%,35.20%,64.80%,64.80%,64.80%,35.20%
Raise the gas tax by 10 cents a gallon,Democratic,,150,,-39,30,69,69,30,69,0.5,Some Democrats in Congress have proposed increasing the federal gas tax by 10 cents per gallon and indexing it to inflation. Under this policy the gas tax would rise from 18.4 to 28.4 cents per gallon with automatic future increases to match inflation.,it would fund critical infrastructure improvements while reducing carbon emissions.,we need sustainable funding to rebuild America's crumbling infrastructure.,"it would hurt working families who rely on their cars, and increase costs for small businesses.",Americans are already paying too much in taxes and gasoline is already too expensive.,it would fund critical infrastructure improvements while reducing carbon emissions.,we need sustainable funding to rebuild America's crumbling infrastructure.,"it would hurt working families who rely on their cars, and increase costs for small businesses.",Americans are already paying too much in taxes and gasoline is already too expensive.,-39.80%,30.10%,69.90%,69.90%,30.10%,69.90%
Increase involuntary commitment for individuals with serious mental illness who are disorderly in public,Republican,,104,,4,47,52,52,52,47,0.75,"Some Republicans in the Trump administration have proposed a bill that would provide funding to states that increase involuntary commitment for those with mental illness or drug addictions. Under this bill, individuals with serious mental illness or drug addiction who are disorderly in public, or seem aggressive or unstable, would be placed in mental institutions, with or without their consent.",it violates civil rights and could be used to arbitrarily detain vulnerable people without due process.,"we need to address the root causes of addiction and mental illness, like poverty, not just lock people up.","getting dangerous mentally ill people off the streets is necessary for public safety, especially with crime on the rise.",we can't let our public spaces be overrun by unstable and dangerous people who are mentally ill and addicted.,"getting dangerous mentally ill people off the streets is necessary for public safety, especially with crime on the rise.",we can't let our public spaces be overrun by unstable and dangerous people who are mentally ill and addicted.,it violates civil rights and could be used to arbitrarily detain vulnerable people without due process.,"we need to address the root causes of addiction and mental illness, like poverty, not just lock people up.",4.80%,47.60%,52.40%,52.40%,52.40%,47.60%
Make AI developers liable for harms caused by their models,Democratic,,124,,15,57,42,57,57,42,0.5,"Some Democrats in Congress have proposed holding Artificial Intelligence companies legally liable for harmful actions committed by Artificial Intelligence systems they have developed. Under this bill, if crime, fraud, or other harm is committed by an individual using an Artificial Intelligence system, the company that developed it would be subject to fines and legal action.",it will reduce the chances of harmful consequences from artificial intelligence systems by giving companies developing these systems an incentive to be careful.,"we need to protect the public from potential harm caused by Artificial Intelligence systems, such as biased decision-making, invasion of privacy, and fraud such as identity theft.",holding Artificial Intelligence companies legally liable for their systems' actions will discourage innovation and reduce technological progress.,"more regulations would put U.S. firms at a competitive disadvantage, allowing foreign companies to take the lead in Artificial Intelligence development.",it will reduce the chances of harmful consequences from artificial intelligence systems by giving companies developing these systems an incentive to be careful.,"we need to protect the public from potential harm caused by Artificial Intelligence systems, such as biased decision-making, invasion of privacy, and fraud such as identity theft.",holding Artificial Intelligence companies legally liable for their systems' actions will discourage innovation and reduce technological progress.,"more regulations would put U.S. firms at a competitive disadvantage, allowing foreign companies to take the lead in Artificial Intelligence development.",15.80%,57.90%,42.10%,57.90%,57.90%,42.10%
Require regulatory pre-approval for new frontier AI models,Democratic,,177,,9,54,45,54,54,45,0.5,"Some Democrats in Congress are proposing requiring Artificial Intelligence companies to receive regulatory approval before releasing more powerful systems. Under this bill, systems more powerful than “ChatGPT” would have to be inspected for safety by an independent government research body before they were released to the public.","it will help protect the public from potential harms caused by the technology, such as fraud, cyberattacks, privacy concerns, and discrimination.","we should be concerned about the risks that powerful Artificial Intelligence programs pose to national security, such as by enabling cyberattacks.","more regulation will put the U.S. at a competitive disadvantage globally, especially given rapid advancements in Artificial Intelligence by other countries.","it will impose additional bureaucracy and unnecessary costs on companies, slowing the development of new technologies and solutions.","it will help protect the public from potential harms caused by the technology, such as fraud, cyberattacks, privacy concerns, and discrimination.","we should be concerned about the risks that powerful Artificial Intelligence programs pose to national security, such as by enabling cyberattacks.","more regulation will put the U.S. at a competitive disadvantage globally, especially given rapid advancements in Artificial Intelligence by other countries.","it will impose additional bureaucracy and unnecessary costs on companies, slowing the development of new technologies and solutions.",9.80%,54.90%,45.10%,54.90%,54.90%,45.10%
Help cities clear homeless encampments,Republican,,94,,2,48,51,51,51,48,0.75,Some Republicans in the Trump administration are proposing supporting the removal of homeless encampments in cities and towns across the country. Under this policy the Trump administration will provide funding and law enforcement resources to cities to help them clear encampments.,"it criminalizes homelessness without doing anything to address its root causes, such as poverty, addiction, and mental illness.","we should be focused on getting homeless people off the streets by providing jobs and treatment, not by just destroying their encampments.","clearing encampments will help businesses, residents, and law enforcement maintain clean and safe public spaces for everyone.","in recent years cities have become overrun with homeless encampments, that are unsanitary and are a threat to public safety.","clearing encampments will help businesses, residents, and law enforcement maintain clean and safe public spaces for everyone.","in recent years cities have become overrun with homeless encampments, that are unsanitary and are a threat to public safety.","it criminalizes homelessness without doing anything to address its root causes, such as poverty, addiction, and mental illness.","we should be focused on getting homeless people off the streets by providing jobs and treatment, not by just destroying their encampments.",2.40%,48.80%,51.20%,51.20%,51.20%,48.80%
Prevent any cuts to Social Security and Medicare,Democratic,,135,,28,64,35,64,64,35,1,"Some Democrats in Congress have proposed preventing any reductions to Social Security and Medicare benefits. Under this policy, funding and benefit levels for these programs would be guaranteed to remain at least at current levels.","seniors deserve the benefits they've earned through a lifetime of work, and these essential programs should be strengthened, not cut.","we shouldn't be cutting programs that our seniors have paid into their entire lives, and which help millions of elderly Americans.","preventing any reforms or adjustments to these programs ignores fiscal reality and ensures they will become insolvent, hurting future beneficiaries.",responsible changes are needed to preserve these important programs for future generations rather than maintaining an unsustainable status quo.,"seniors deserve the benefits they've earned through a lifetime of work, and these essential programs should be strengthened, not cut.","we shouldn't be cutting programs that our seniors have paid into their entire lives, and which help millions of elderly Americans.","preventing any reforms or adjustments to these programs ignores fiscal reality and ensures they will become insolvent, hurting future beneficiaries.",responsible changes are needed to preserve these important programs for future generations rather than maintaining an unsustainable status quo.,28.60%,64.30%,35.70%,64.30%,64.30%,35.70%
Ban birth control,Republican,,10,,-44,72,27,72,27,72,0.25,"Some Republicans in the Trump administration are proposing to ban birth control nationwide. Under this policy the Trump administration will prohibit the sale and purchase of contraceptive pills, Plan B, and IUDs.",it's not right to deny millions of women access to basic healthcare and family planning options.,women should have the freedom to make their own healthcare choices without interference from politicians.,some contraceptives can terminate early pregnancies which are human life.,"life begins at conception and must be protected, making birth control immoral.",some contraceptives can terminate early pregnancies which are human life.,"life begins at conception and must be protected, making birth control immoral.",it's not right to deny millions of women access to basic healthcare and family planning options.,women should have the freedom to make their own healthcare choices without interference from politicians.,-44.60%,72.30%,27.70%,72.30%,27.70%,72.30%
Increase protections for workers who organize or strike,Democratic,,108,,9,54,45,54,54,45,0.75,"Some Democrats in Congress have proposed strengthening union organizing rights. Under this policy employers would face increased penalties for firing workers who try to form unions, and workers would get increased protections for organizing and striking.",it would stop companies from illegally blocking unions and restore worker power.,workers deserve a voice on the job and shouldn't be fired for organizing.,"it would kill jobs, force union dues, and hurt the economy.",unions hurt business competitiveness and hurt the economy.,it would stop companies from illegally blocking unions and restore worker power.,workers deserve a voice on the job and shouldn't be fired for organizing.,"it would kill jobs, force union dues, and hurt the economy.",unions hurt business competitiveness and hurt the economy.,9.00%,54.50%,45.50%,54.50%,54.50%,45.50%
Raise taxes on companies that automate jobs with AI,Democratic,,149,,2,51,48,51,51,48,0.5,"Some Democrats in Congress have proposed increasing taxes on companies that use Artificial Intelligence systems to automate American jobs. Under this policy, the revenue generated from these taxes would be used to pay for job retraining and provide financial compensation to affected workers.",it will reduce growing income inequality and ensure that the benefits of artificial intelligence are shared broadly.,workers displaced by artificial intelligence deserve a little extra support as they look for new jobs.,"it will discourage investment in Artificial Intelligence technology, hurting the economy and costing jobs in the long run.","raising taxes on businesses will hurt the economy, raise prices for consumers, and cost jobs.",it will reduce growing income inequality and ensure that the benefits of artificial intelligence are shared broadly.,workers displaced by artificial intelligence deserve a little extra support as they look for new jobs.,"it will discourage investment in Artificial Intelligence technology, hurting the economy and costing jobs in the long run.","raising taxes on businesses will hurt the economy, raise prices for consumers, and cost jobs.",2.40%,51.20%,48.80%,51.20%,51.20%,48.80%
,,,,,0,0,0,0,0,100,,,,,,,,,,,,,,,,100.00%
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
